#   X     Y     Z      S       D
   114   194   153  3.1648  0.8405
   107   199   156  3.1641  0.8379
   115   195   153  3.1634  0.8400
   112   202   154  3.1585  0.8374
   108   195   157  3.1492  0.8317
   109   196   157  3.1246  0.8228
   107   195   156  3.1191  0.8215
   115   202   153  3.1136  0.8218
   107   200   156  3.0939  0.8124
   115   202   152  3.0900  0.8140
   115   200   154  3.0738  0.8067
   108   194   157  3.0544  0.7976
   109   195   157  3.0436  0.7937
   107   194   156  3.0383  0.7925
   115   194   153  3.0360  0.7938
   113   202   154  3.0310  0.7914
   106   199   155  4.1763  1.2487
   106   200   155  4.1601  1.2414
   106   198   155  4.1525  1.2380
   106   198   151  4.1454  1.2400
   106   199   151  4.1324  1.2342
   106   197   151  4.1180  1.2278
   106   201   155  4.1019  1.2156
   106   197   155  4.0933  1.2118
   106   199   152  4.0880  1.2132
   106   200   151  4.0770  1.2097
   106   200   152  4.0744  1.2073
   106   198   152  4.0584  1.2002
   106   196   151  4.0544  1.1997
   106   201   152  4.0171  1.1822
   106   196   155  4.0052  1.1734
   106   202   155  4.0033  1.1726
   116   197   155  3.9976  1.1702
   109   203   155  3.9891  1.1665
   106   197   152  3.9890  1.1700
   106   201   151  3.9806  1.1676
   116   198   155  3.9775  1.1615
   110   203   155  3.9773  1.1614
   111   193   155  3.9746  1.1602
   108   203   155  3.9743  1.1601
   116   196   155  3.9720  1.1591
   112   193   155  3.9669  1.1570
   106   195   151  3.9611  1.1592
   110   193   155  3.9554  1.1520
   111   203   155  3.9368  1.1441
   107   203   155  3.9342  1.1430
   113   193   155  3.9307  1.1415
   106   202   152  3.9179  1.1395
   116   199   155  3.9116  1.1333
   109   193   155  3.9111  1.1331
   116   195   155  3.9024  1.1295
   106   195   155  3.8953  1.1264
   106   196   152  3.8856  1.1257
   106   198   154  3.8733  1.1183
   106   203   155  3.8692  1.1154
   112   203   155  3.8653  1.1138
   114   193   155  3.8651  1.1137
   106   199   154  3.8617  1.1134
   110   197   150  3.8590  1.1168
   111   197   150  3.8571  1.1160
   106   202   151  3.8474  1.1108
   106   194   151  3.8447  1.1096
   110   198   150  3.8429  1.1100
   108   193   155  3.8427  1.1043
   111   198   150  3.8385  1.1082
   106   197   154  3.8363  1.1027
   109   197   150  3.8335  1.1061
   112   197   150  3.8294  1.1044
   110   196   150  3.8279  1.1037
   111   196   150  3.8265  1.1032
   109   198   150  3.8232  1.1017
   112   198   150  3.8105  1.0964
   116   200   155  3.8026  1.0876
   106   200   154  3.7989  1.0871
   109   196   150  3.7988  1.0915
   112   196   150  3.7977  1.0911
   116   194   155  3.7928  1.0835
   110   199   150  3.7841  1.0854
   106   203   152  3.7820  1.0823
   108   197   150  3.7781  1.0829
   108   198   150  3.7775  1.0827
   113   197   150  3.7769  1.0824
   108   193   151  3.7756  1.0808
   111   199   150  3.7755  1.0818
   109   199   150  3.7717  1.0803
   115   193   155  3.7706  1.0744
   106   194   155  3.7702  1.0742
   107   193   151  3.7658  1.0767
   113   203   155  3.7618  1.0707
   113   198   150  3.7583  1.0747
   107   203   152  3.7577  1.0722
   106   196   154  3.7571  1.0698
   106   195   152  3.7564  1.0717
   107   193   155  3.7505  1.0661
   110   195   150  3.7489  1.0708
   111   195   150  3.7466  1.0699
   109   193   151  3.7454  1.0683
   112   199   150  3.7451  1.0692
   113   196   150  3.7437  1.0687
   108   199   150  3.7373  1.0660
   108   196   150  3.7365  1.0657
